v101,v025,d104,d106,d107,d108,d113,d121,d122a,d122b,v044,v133,v137,v153,v190,v501,v502,v511,v512,v730,v731,v741,v012,v745a,v745b,v746,v715,v744a,v744b,v744c,v744d,v744e
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,18,30,51,no,,48,does not own,alone only,,0,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,7,0,no,middle,married,currently in union/living with a man,16,0,19,no,,16,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,richer,married,currently in union/living with a man,18,0,28,no,,18,does not own,does not own,,11,no,no,no,no,no
province 1,urban,,,,,,yes,no,no,woman selected and interviewed,11,0,no,middle,never in union,never in union,,,,in the past year,cash only,16,does not own,does not own,,,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,8,0,no,richer,never in union,never in union,,,,no,,15,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,1,no,middle,married,currently in union/living with a man,20,12,40,currently working,not paid,32,does not own,alone only,,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,18,10,35,currently working,cash only,28,does not own,does not own,less than him,8,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,1,no,richer,married,currently in union/living with a man,22,6,32,currently working,cash only,28,does not own,does not own,about the same,8,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,10,0,yes,richer,never in union,never in union,,,,currently working,cash only,26,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,1,no,poorer,married,currently in union/living with a man,21,3,27,in the past year,cash only,25,does not own,does not own,less than him,8,no,no,no,no,no
province 1,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,15,22,42,no,,37,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,4,1,no,middle,married,currently in union/living with a man,16,22,50,no,,39,does not own,does not own,,0,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,9,0,no,richer,never in union,never in union,,,,no,,32,does not own,does not own,,,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,16,2,23,in the past year,cash only,18,does not own,does not own,less than him,10,no,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,18,19,38,no,,38,both alone and jointly,both alone and jointly,,3,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,21,7,31,currently working,cash only,29,alone only,alone only,more than him,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,16,1,26,no,,18,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,3,no,middle,married,currently in union/living with a man,19,8,32,no,,28,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,6,0,no,richer,married,currently in union/living with a man,23,13,40,in the past year,cash only,37,does not own,does not own,less than him,9,yes,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,3,0,no,richest,married,currently in union/living with a man,19,29,52,currently working,cash and in-kind,49,does not own,alone only,less than him,9,no,no,no,no,no
province 1,urban,yes,yes,yes,no,yes,no,no,no,woman selected and interviewed,3,0,no,middle,widowed,formerly in union/living with a man,25,17,,currently working,not paid,43,alone only,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,13,35,currently working,cash only,29,does not own,does not own,less than him,8,no,no,no,no,no
province 1,urban,yes,yes,yes,yes,yes,no,no,no,woman selected and interviewed,2,0,no,poorer,married,currently in union/living with a man,25,15,41,currently working,in-kind only,40,jointly only,does not own,,2,no,no,no,no,no
province 1,urban,no,no,no,no,yes,yes,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,17,16,34,no,,33,does not own,does not own,,5,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,1,1,no,middle,married,currently in union/living with a man,20,5,28,no,,25,does not own,does not own,,4,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,0,not a dejure resident,poorer,married,currently in union/living with a man,20,1,24,currently working,cash and in-kind,21,does not own,does not own,less than him,11,yes,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,24,8,39,currently working,not paid,32,does not own,does not own,,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,20,2,28,currently working,cash and in-kind,22,does not own,alone only,less than him,7,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,18,5,31,"have a job, but on leave last 7 days",cash only,23,does not own,does not own,less than him,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,17,6,30,currently working,cash only,24,does not own,does not own,less than him,9,yes,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,8,0,no,middle,married,currently in union/living with a man,26,0,26,no,,26,does not own,does not own,,10,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,4,0,no,richer,married,currently in union/living with a man,19,17,39,currently working,cash and in-kind,37,does not own,does not own,less than him,8,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richer,never in union,never in union,,,,currently working,cash and in-kind,17,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,9,1,no,richer,married,currently in union/living with a man,23,6,32,no,,30,does not own,does not own,,11,no,no,no,no,no
province 1,urban,yes,yes,yes,yes,yes,yes,no,no,woman selected and interviewed,5,2,no,poorest,married,currently in union/living with a man,14,5,23,currently working,cash only,19,does not own,does not own,less than him,7,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,24,8,34,currently working,cash only,32,does not own,does not own,less than him,10,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,middle,never in union,never in union,,,,no,,18,does not own,does not own,,,no,no,no,no,no
province 1,urban,yes,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorer,living with partner,currently in union/living with a man,20,18,41,no,,38,does not own,does not own,,8,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,17,19,44,no,,36,does not own,does not own,,5,no,no,no,no,no
province 1,urban,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,richer,married,currently in union/living with a man,23,19,48,currently working,not paid,42,does not own,does not own,,0,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,9,0,no,middle,never in union,never in union,,,,no,,36,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,8,0,no,middle,married,currently in union/living with a man,29,14,47,no,,43,does not own,alone only,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,23,14,38,no,,37,does not own,alone only,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,3,1,no,poorer,married,currently in union/living with a man,18,14,37,in the past year,cash only,33,does not own,does not own,less than him,3,no,no,no,no,no
province 1,urban,no,no,yes,no,no,no,no,no,woman selected and interviewed,0,1,no,poorest,married,currently in union/living with a man,18,4,26,in the past year,cash only,23,does not own,does not own,less than him,6,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richer,never in union,never in union,,,,no,,19,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,1,no,richest,married,currently in union/living with a man,21,4,31,currently working,cash only,26,alone only,does not own,about the same,8,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,22,11,42,currently working,cash only,34,alone only,does not own,about the same,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richest,married,currently in union/living with a man,22,16,41,no,,39,does not own,does not own,,8,yes,yes,yes,yes,yes
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,28,0,28,no,,29,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,5,0,no,richest,married,currently in union/living with a man,15,20,48,no,,35,both alone and jointly,does not own,,8,no,no,no,no,no
province 1,urban,,,,,,yes,no,no,woman selected and interviewed,11,0,not a dejure resident,richer,never in union,never in union,,,,no,,20,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,5,2,no,richer,married,currently in union/living with a man,15,7,23,currently working,cash only,22,does not own,does not own,less than him,5,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richer,never in union,never in union,,,,in the past year,cash only,20,does not own,does not own,,,no,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,17,2,23,no,,20,does not own,does not own,,7,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,7,2,no,richer,married,currently in union/living with a man,21,3,27,no,,24,does not own,does not own,,9,no,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,9,1,no,richest,married,currently in union/living with a man,23,7,31,currently working,cash only,31,does not own,does not own,less than him,5,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,richest,married,currently in union/living with a man,22,7,34,currently working,cash only,29,does not own,does not own,less than him,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richer,never in union,never in union,,,,no,,19,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,7,1,no,richer,married,currently in union/living with a man,25,4,31,no,,30,does not own,alone only,,9,no,yes,no,no,no
province 1,urban,,,,,,yes,no,no,woman selected and interviewed,11,0,yes,richest,never in union,never in union,,,,currently working,cash only,20,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,9,1,no,richest,married,currently in union/living with a man,25,3,45,no,,29,does not own,alone only,,9,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,4,1,no,richer,married,currently in union/living with a man,15,19,37,no,,34,jointly only,alone only,,7,no,no,no,no,no
province 1,urban,no,no,no,no,yes,yes,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,16,11,30,in the past year,cash only,27,does not own,does not own,less than him,0,no,yes,no,no,no
province 1,urban,yes,no,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,19,10,34,currently working,cash only,30,does not own,does not own,less than him,0,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,20,0,25,currently working,cash only,21,does not own,does not own,less than him,11,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richer,married,currently in union/living with a man,26,17,48,no,,43,does not own,does not own,,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,9,0,no,richer,never in union,never in union,,,,no,,17,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,29,6,36,no,,35,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,23,9,38,currently working,cash only,33,does not own,alone only,more than him,7,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,13,32,52,currently working,cash only,45,does not own,does not own,more than him,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,7,0,no,richer,married,currently in union/living with a man,14,19,37,no,,33,jointly only,jointly only,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,18,6,31,no,,24,does not own,alone only,,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,11,1,no,richer,married,currently in union/living with a man,25,3,32,no,,28,does not own,alone only,,5,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,5,0,no,richer,married,currently in union/living with a man,21,27,56,currently working,cash and in-kind,48,alone only,alone only,husband/partner doesn't bring in money,8,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,17,9,32,currently working,cash only,27,does not own,does not own,less than him,10,no,no,no,no,no
province 1,urban,yes,yes,yes,yes,yes,yes,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,20,10,40,no,,30,does not own,does not own,,9,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,5,0,no,richest,never in union,never in union,,,,currently working,not paid,33,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,"yes, once","yes, once",woman selected and interviewed,8,0,yes,richest,married,currently in union/living with a man,19,28,58,no,,48,alone only,does not own,,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richest,never in union,never in union,,,,currently working,cash only,21,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,yes,richest,married,currently in union/living with a man,22,25,51,currently working,cash only,47,does not own,alone only,more than him,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,22,3,28,currently working,cash only,25,does not own,does not own,less than him,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,3,1,yes,richest,married,currently in union/living with a man,20,29,54,no,,49,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,21,8,36,no,,30,alone only,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,7,0,no,richest,married,currently in union/living with a man,17,0,22,no,,17,does not own,does not own,,10,yes,yes,yes,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,24,17,51,no,,41,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,20,15,43,no,,35,does not own,alone only,,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,10,1,yes,richest,never in union,never in union,,,,no,,15,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,27,19,56,no,,46,alone only,alone only,,11,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,6,0,no,richest,married,currently in union/living with a man,16,18,44,no,,35,does not own,does not own,,10,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,yes,richest,never in union,never in union,,,,currently working,cash only,24,does not own,alone only,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,yes,richest,married,currently in union/living with a man,20,1,32,no,,22,does not own,does not own,,10,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richer,never in union,never in union,,,,currently working,cash only,18,does not own,does not own,,,no,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,9,0,yes,richest,married,currently in union/living with a man,16,17,48,no,,33,does not own,does not own,,11,no,no,no,no,no
province 1,urban,,,,,,,,,"woman selected, but privacy not possible",0,0,yes,richest,married,currently in union/living with a man,21,17,45,currently working,cash only,39,does not own,does not own,less than him,0,no,no,no,no,no
province 1,urban,,,,,,don't know,no,no,woman selected and interviewed,9,0,yes,richest,never in union,never in union,,,,no,,16,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,10,1,yes,richest,married,currently in union/living with a man,20,1,22,"have a job, but on leave last 7 days",cash only,21,does not own,does not own,less than him,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,yes,richest,never in union,never in union,,,,no,,19,does not own,does not own,,,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,0,no,richest,never in union,never in union,,,,currently working,cash only,17,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,26,14,50,no,,40,jointly only,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,richest,married,currently in union/living with a man,15,16,34,no,,31,alone only,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,20,7,33,no,,27,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,"yes, more than once","yes, more than once",woman selected and interviewed,9,0,not a dejure resident,richer,married,currently in union/living with a man,17,1,22,no,,18,does not own,does not own,,10,no,no,no,no,no
province 1,urban,yes,yes,no,no,yes,no,no,no,woman selected and interviewed,8,2,no,richer,married,currently in union/living with a man,17,9,30,no,,26,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,0,no,richest,married,currently in union/living with a man,25,1,24,currently working,cash only,26,does not own,does not own,less than him,10,no,no,no,no,no
province 1,urban,yes,no,no,yes,yes,no,no,no,woman selected and interviewed,11,0,yes,richest,married,currently in union/living with a man,20,22,48,currently working,cash only,42,alone only,does not own,about the same,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,5,0,yes,richest,married,currently in union/living with a man,15,19,49,"have a job, but on leave last 7 days",not paid,34,does not own,does not own,,8,yes,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,10,0,no,richest,never in union,never in union,,,,no,,20,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,yes,richest,married,currently in union/living with a man,21,18,44,no,,39,alone only,alone only,,10,no,no,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,24,5,32,currently working,cash only,29,does not own,does not own,less than him,11,no,no,no,no,no
province 1,urban,no,yes,no,no,yes,no,no,"yes, once",woman selected and interviewed,6,2,no,richest,married,currently in union/living with a man,26,3,36,currently working,cash only,29,does not own,does not own,less than him,6,no,no,no,no,no
province 1,urban,no,yes,no,yes,yes,no,no,no,woman selected and interviewed,1,2,no,richer,married,currently in union/living with a man,14,34,56,no,,48,does not own,alone only,,5,no,no,no,no,no
province 1,urban,yes,yes,no,no,yes,no,no,no,woman selected and interviewed,7,0,no,richest,married,currently in union/living with a man,16,11,33,no,,28,does not own,does not own,,0,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,23,14,49,no,,37,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,richest,married,currently in union/living with a man,25,10,39,currently working,cash only,35,does not own,does not own,less than him,11,no,no,no,no,no
province 1,urban,no,no,no,no,yes,yes,no,no,woman selected and interviewed,3,1,no,richer,married,currently in union/living with a man,17,16,37,currently working,cash only,33,alone only,alone only,less than him,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,10,1,no,middle,married,currently in union/living with a man,16,2,20,currently working,not paid,18,does not own,does not own,,10,no,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,middle,married,currently in union/living with a man,16,4,27,currently working,cash only,20,does not own,does not own,husband/partner doesn't bring in money,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,2,no,middle,married,currently in union/living with a man,21,4,35,no,,25,does not own,does not own,,10,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,1,no,poorer,never in union,never in union,,,,in the past year,cash only,19,does not own,does not own,,,no,yes,no,no,no
province 1,urban,,,,,,yes,no,no,woman selected and interviewed,11,0,no,middle,never in union,never in union,,,,currently working,cash only,23,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,0,no,richest,married,currently in union/living with a man,26,0,29,currently working,not paid,27,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,yes,yes,no,no,no,woman selected and interviewed,0,0,no,richest,married,currently in union/living with a man,19,27,48,in the past year,cash only,47,does not own,does not own,less than him,0,yes,yes,no,no,no
province 1,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,10,1,no,richest,married,currently in union/living with a man,19,4,26,currently working,not paid,23,does not own,does not own,,10,yes,yes,no,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,5,0,no,middle,married,currently in union/living with a man,20,23,44,currently working,cash only,44,does not own,does not own,less than him,8,no,yes,no,no,no
province 1,urban,yes,yes,yes,yes,yes,no,no,no,woman selected and interviewed,6,0,no,richest,married,currently in union/living with a man,23,22,46,currently working,cash only,45,does not own,does not own,less than him,11,yes,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,middle,married,currently in union/living with a man,20,0,22,in the past year,not paid,20,does not own,does not own,,9,no,yes,yes,no,yes
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,2,0,no,middle,married,currently in union/living with a man,14,18,37,currently working,not paid,32,alone only,does not own,,10,no,no,yes,no,no
province 1,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,18,14,33,currently working,not paid,32,does not own,does not own,,10,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,6,0,yes,richest,married,currently in union/living with a man,19,14,33,currently working,not paid,33,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,not a dejure resident,richer,married,currently in union/living with a man,23,13,39,no,,36,does not own,does not own,,11,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,6,0,no,richer,married,currently in union/living with a man,17,22,40,currently working,cash only,39,does not own,does not own,about the same,8,yes,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,richer,married,currently in union/living with a man,20,6,30,currently working,cash only,26,alone only,does not own,less than him,8,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,11,1,no,richer,never in union,never in union,,,,no,,19,does not own,does not own,,,no,yes,no,no,no
province 1,urban,no,yes,yes,yes,no,yes,no,no,woman selected and interviewed,8,1,no,middle,married,currently in union/living with a man,16,6,26,in the past year,cash only,22,does not own,does not own,less than him,4,yes,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,"yes, more than once",woman selected and interviewed,4,0,no,richer,married,currently in union/living with a man,23,17,43,currently working,cash only,40,does not own,does not own,more than him,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,9,0,no,richer,never in union,never in union,,,,no,,16,does not own,does not own,,,no,no,no,no,no
province 1,urban,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,1,1,no,middle,married,currently in union/living with a man,18,21,42,currently working,cash only,40,does not own,does not own,less than him,4,yes,yes,no,no,no
